nazwazmiennej,etykieta
P_PROC_MIES_BEZR_NDOSW_P5,Ryzyko bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_WWB_NSTUD,"Względny Wskaźnik Bezrobocia absolwentów w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWB,Względny Wskaźnik Bezrobocia absolwentów po uzyskaniu dyplomu
P_WWB_NSTUD_P1,"Względny Wskaźnik Bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWB_P1,Względny Wskaźnik Bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu
P_WWB_NSTUD_P2,"Względny Wskaźnik Bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWB_P2,Względny Wskaźnik Bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu
P_WWB_NSTUD_P3,"Względny Wskaźnik Bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWB_P3,Względny Wskaźnik Bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu
P_WWB_NSTUD_P4,"Względny Wskaźnik Bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWB_P4,Względny Wskaźnik Bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu
P_WWB_NSTUD_P5,"Względny Wskaźnik Bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_WWB_P5,Względny Wskaźnik Bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu
P_WWB_DOSW,Względny Wskaźnik Bezrobocia absolwentów po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_WWB_NDOSW,Względny Wskaźnik Bezrobocia absolwentów po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_WWB_DOSW_P1,Względny Wskaźnik Bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_WWB_NDOSW_P1,Względny Wskaźnik Bezrobocia absolwentów w pierwszym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_WWB_DOSW_P2,Względny Wskaźnik Bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_WWB_NDOSW_P2,Względny Wskaźnik Bezrobocia absolwentów w drugim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_WWB_DOSW_P3,Względny Wskaźnik Bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_WWB_NDOSW_P3,Względny Wskaźnik Bezrobocia absolwentów w trzecim roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_WWB_DOSW_P4,Względny Wskaźnik Bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_WWB_NDOSW_P4,Względny Wskaźnik Bezrobocia absolwentów w czwartym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_WWB_DOSW_P5,Względny Wskaźnik Bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu
P_WWB_NDOSW_P5,Względny Wskaźnik Bezrobocia absolwentów w piątym roku po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu
P_CZY_PRACA_STUD,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_NSTUD,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_PRACA,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy po uzyskaniu dyplomu"
P_CZY_PRACA_STUD_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_NSTUD_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_P1,"Procent absolwentów, którzy w pierwszym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy"
P_CZY_PRACA_STUD_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_NSTUD_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_P2,"Procent absolwentów, którzy w drugim roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy"
P_CZY_PRACA_STUD_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_NSTUD_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_P3,"Procent absolwentów, którzy w trzecim roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy"
P_CZY_PRACA_STUD_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_NSTUD_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_P4,"Procent absolwentów, którzy w czwartym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy"
P_CZY_PRACA_STUD_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_NSTUD_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy w okresach, gdy nie studiowali po uzyskaniu dyplomu"
P_CZY_PRACA_P5,"Procent absolwentów, którzy w piątym roku po uzyskaniu dyplomu mieli doświadczenie jakiejkolwiek pracy"
P_CZY_PRACA_DOSW,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy po uzyskaniu dyplomu wśród absolwentów z doświadczeniem pracy przed uzyskaniem dyplomu"
P_CZY_PRACA_NDOSW,"Procent absolwentów, którzy mieli doświadczenie jakiejkolwiek pracy po uzyskaniu dyplomu wśród absolwentów bez doświadczenia pracy przed uzyskaniem dyplomu"
