id;avgInc;incY1;incY2;incY3;incY4;incY5;pass
738;5333.08;3772.36;4863.83;5791.65;4888.40;5573.15;60.00
739;5333.08;3772.36;4863.83;5791.65;4888.40;5573.15;60.00
740;3948.03;1896.94;2136.53;3203.96;5238.36;0.00;64.70
741;4134.44;835.49;2172.87;3324.67;4338.54;5423.38;54.80
742;3769.59;2656.92;1574.75;3528.14;4161.93;4728.47;86.80
743;6426.94;3761.06;5530.36;5724.94;6736.13;8483.99;77.40
744;6565.92;3460.76;5025.90;5522.00;7108.84;8322.39;87.50
745;3767.01;2612.38;2861.38;3459.91;3898.47;4746.47;61.50
746;7060.75;3973.98;6861.57;6546.00;7022.19;8847.37;40.00
747;4166.30;2870.97;3059.34;3495.30;4646.47;5074.69;50.00
748;4735.63;2963.88;3361.40;4347.60;4351.52;6211.21;75.00
750;6324.61;3449.52;5773.93;6075.02;6840.00;8297.04;0.00
751;4395.78;1108.68;1832.02;2735.32;4098.64;4893.34;50.00
752;6391.10;3742.34;4507.55;5430.24;6622.33;7924.31;0.00
753;4137.80;3685.95;5080.70;6207.66;5175.91;0.00;70.00
754;9177.22;3044.88;4813.35;10216.13;12379.25;13238.43;0.00
755;4917.32;2320.65;3210.99;4211.64;5064.11;6213.73;69.50
756;3487.17;2491.95;3121.70;5041.07;4727.78;6081.89;0.00
757;4791.97;2698.82;1972.97;3578.11;4723.50;5858.72;88.50
758;5927.65;3995.69;4542.38;4857.14;7921.21;7666.37;94.40
759;6826.98;3890.48;6074.31;6359.48;7987.98;8679.58;0.00
760;2060.40;2094.15;0.00;0.00;0.00;0.00;42.90
761;7011.30;5276.25;5919.76;6880.18;7460.22;8484.89;0.00
762;9467.53;5615.78;7717.54;8849.57;10690.40;14031.00;48.10
764;4715.83;1633.04;2466.81;3111.47;4663.04;5589.01;50.00
765;3352.52;1870.07;1444.81;2228.83;3686.53;4296.48;80.00
766;4893.36;1841.01;2249.74;3911.19;5051.07;6127.47;84.90
767;0.00;0.00;0.00;0.00;0.00;0.00;0.00
768;4791.97;2698.82;1972.97;3578.11;4723.50;5858.72;88.50
769;4893.16;0.00;2571.66;3692.16;5286.20;6268.78;88.90
770;5178.20;0.00;1739.43;4026.93;5445.10;6463.75;89.70
771;3362.37;1635.92;2603.28;2415.70;3671.89;4743.09;66.70
773;6594.74;2278.79;3774.58;5518.25;7811.91;0.00;90.90
774;4132.10;3018.77;2517.86;3031.85;4609.23;4786.65;74.40
776;4383.33;2495.35;2443.13;3060.84;4106.40;5898.74;69.90
777;4532.36;2202.69;2130.59;3518.55;4459.15;5623.99;73.30
778;5301.88;2106.67;2178.91;4101.01;5246.29;6397.29;87.00
779;6769.67;3584.00;4571.52;5988.08;7068.82;8859.66;65.30
780;7070.06;3535.11;4819.37;6232.10;8344.88;9348.85;50.00
781;4852.66;2274.94;3090.78;4025.63;4628.22;5330.62;37.50
782;4698.63;2191.76;2731.68;3659.66;4462.39;5715.40;66.70
783;4145.57;2150.46;2740.38;3692.25;4987.32;5693.01;50.00
784;7130.46;3168.54;5231.26;6264.98;7270.21;9090.61;84.00
786;6458.09;3049.19;5316.86;5544.24;6764.55;7825.68;87.90
787;3507.42;1670.63;2248.66;2400.23;3594.62;4206.94;62.10
788;6782.94;4113.17;9389.18;5164.77;6579.89;8235.43;37.50
789;4233.14;3699.19;4221.49;0.00;0.00;0.00;50.00
790;5043.35;1911.08;3185.30;4291.03;5813.87;6323.40;71.40
791;5794.06;4622.56;6797.10;0.00;0.00;0.00;45.50
792;4815.98;1425.58;1508.20;4049.21;4819.34;6427.18;83.30
793;4776.03;2764.68;4478.07;0.00;0.00;0.00;73.10
794;5694.45;2876.83;5144.77;5509.04;6067.28;7145.46;0.00
795;4970.92;4024.94;6689.59;0.00;0.00;0.00;22.60
796;6300.68;4779.67;5156.91;5643.27;6683.25;7360.70;0.00
797;6699.09;5833.13;7022.39;0.00;0.00;0.00;44.40
798;4210.11;1625.15;2643.44;3691.57;4935.05;5540.04;65.50
799;4470.08;2992.99;4462.81;0.00;0.00;0.00;66.70
800;9111.12;2740.96;4798.98;9055.19;11926.93;12616.47;76.90
801;3236.73;2703.15;0.00;0.00;0.00;0.00;0.00
802;9909.06;2906.10;4826.03;10755.73;13243.64;13936.78;0.00
803;4557.50;4780.14;5651.10;0.00;0.00;0.00;33.30
804;7715.68;1972.46;2715.83;6413.91;9415.61;0.00;82.10
805;3486.92;2551.80;3304.67;0.00;0.00;0.00;37.50
806;4439.12;2218.55;2744.41;2839.78;4418.94;5204.18;29.40
807;4557.50;4780.14;5651.10;0.00;0.00;0.00;33.30
808;4730.52;4219.92;6918.85;0.00;0.00;0.00;14.30
